id,focus,signal,slack,drag,confidence,score,lane
l001,fill risk,35,33,6,25,209,ship
l002,portfolio drift,35,34,6,55,271,ship
l003,quote width,35,35,6,85,333,ship
l004,spread pressure,35,36,18,25,191,ship
l005,fill risk,35,37,18,55,253,ship
l006,portfolio drift,35,38,18,85,315,ship
l007,quote width,35,39,34,25,165,ship
l008,spread pressure,35,40,34,55,227,ship
l009,fill risk,35,41,34,85,289,ship
l010,portfolio drift,60,42,6,25,302,ship
l011,quote width,60,43,6,55,364,ship
l012,spread pressure,60,44,6,85,426,ship
l013,fill risk,60,45,18,25,284,ship
l014,portfolio drift,60,46,18,55,346,ship
l015,quote width,60,47,18,85,408,ship
l016,spread pressure,60,48,34,25,258,ship
l017,fill risk,60,32,34,55,286,ship
l018,portfolio drift,60,33,34,85,348,ship
l019,quote width,85,34,6,25,361,ship
l020,spread pressure,85,35,6,55,423,ship
l021,fill risk,85,36,6,85,485,ship
l022,portfolio drift,85,37,18,25,343,ship
l023,quote width,85,38,18,55,405,ship
l024,spread pressure,85,39,18,85,467,ship
l025,fill risk,85,40,34,25,317,ship
l026,portfolio drift,85,41,34,55,379,ship
l027,quote width,85,42,34,85,441,ship
